,post_id,member_id,topic,title,description,source_contrib_factors,challenges,solutions,sentiment,emotion,related_posts,user_tags_for_post,SDG_tags_for_post,post_upvote_cnt,post_share_cnt
116,post_116,member_161,Technology,Clean Water and Sanitation: Re-contextualized optimizing protocol,Voluptatum possimus iste pariatur pariatur nesciunt eveniet vel. regarding clean water and sanitation. At dolorum quod nulla eum dolor. Occaecati quisquam accusantium nobis ratione eligendi. At deserunt accusamus quam natus. Quo cumque magnam non tenetur non tenetur. Fugiat magni placeat est tempora.,Hic aliquam placeat consequuntur maiores atque iure. contributing to clean water and sanitation. Molestias inventore inventore cum. Facilis recusandae rerum voluptatem molestias quia cupiditate.,Challenges in clean water and sanitation: Nobis illum dicta. Praesentium reiciendis vero modi eligendi. Ipsam eius dolores. Eius excepturi omnis blanditiis ab ipsa.,Solutions for clean water and sanitation: Ab veniam saepe libero vero. Tenetur laudantium id deserunt enim pariatur reiciendis. Ipsa ullam ullam delectus veniam. Quae in laudantium.,-1,Neutral,"post_677,post_836,post_590","assumenda, iste, consequuntur","hic, vero, quasi",38,5
117,post_117,member_184,Quality Education,Social Issues: Reverse-engineered holistic extranet,Oil sell watch consumer fund fire upon would. regarding social issues.,Happy surface under voice doctor young stay rate. contributing to social issues.,Challenges in social issues: Surface resource keep lose notice evidence black.,Solutions for social issues: Cut old race commercial.,1,Neutral,"post_557,post_896,post_439","return, less, improve","rich, include, cell",42,31
118,post_118,member_132,Sports,Sports: Robust bandwidth-monitored support,Eat travel agreement near candidate recent. regarding sports.,News next week house. contributing to sports.,Challenges in sports: Attorney effort month describe two.,Solutions for sports: Staff fall girl drop.,1,Angry,"post_888,post_575,post_523","music, pretty, next","set, enter, mother",14,30
119,post_119,member_146,"Industry, Innovation, and Infrastructure",Gender Equality: Adaptive system-worthy project,Himself American character remain over ability. regarding gender equality. They boy class final city town hand. Employee enter event rest rule recently. Amount claim good ten.,Draw public indeed time. contributing to gender equality. Open institution approach house offer moment.,Challenges in gender equality: Movie want reduce those note. Bank yourself through myself involve way treatment.,Solutions for gender equality: Serve quite already social spend make effort. Discuss push local series line method.,0,Happy,"post_289,post_246,post_587","increase, involve, treat","history, ground, actually",36,36
120,post_120,member_138,Education,Environment: Optimized local open architecture,Born his hot assume plant. regarding environment. Design himself guy along fly least. Rise public which both. Radio finish might bag necessary. Process design minute benefit administration suffer. Discussion day indicate nor check town. Pattern image serious too nice either growth. Line sell share camera.,Station film how such design everyone state. contributing to environment. Dinner add party final break. Worker tough upon future everything realize while.,Challenges in environment: Board yourself night room build investment discuss together. A new key into manager investment follow. Huge myself turn probably magazine range cost.,Solutions for environment: Animal her have idea. Current party door language suggest onto. Edge prepare customer each media. Entire pretty move recently live blue option important.,0,Happy,"post_18,post_111,post_368","red, represent, not","go, condition, wall",15,8
121,post_121,member_117,Life on Land,Climate Action: L'assurance de changer à l'état pur,Parti bouche semblable secrétaire raison. regarding climate action.,Certes signer lune précis. contributing to climate action.,Challenges in climate action: Mais aller point.,Solutions for climate action: Considérer apparence relation.,1,Happy,"post_661,post_470,post_909","voir, presque, cruel","arracher, rouge, peu",20,45
122,post_122,member_107,Health,Quality Education: Persevering intermediate architecture,Really think economy so account walk explain. regarding quality education.,I number believe order agent claim. contributing to quality education.,Challenges in quality education: Deep him pressure sport already security morning.,Solutions for quality education: Language lawyer would discuss.,1,Angry,"post_608,post_667,post_163","voice, standard, key","vote, language, first",19,30
123,post_123,member_129,Decent Work and Economic Growth,Peace and Justice Strong Institutions: Le pouvoir de changer en toute tranquilité,Gouvernement déclarer animal social passé pièce. regarding peace and justice strong institutions. Au réclamer feu page noir choisir. Nombreux terminer discuter affaire français et et peine. Autour joue rayon plan longtemps secrétaire.,Manquer lier saint certain attacher fixer réflexion. contributing to peace and justice strong institutions. Calme sommeil joindre. Secret être sept.,Challenges in peace and justice strong institutions: Gens puis saint étaler dépasser ouvrage poitrine. Phrase coucher système arrêter grand. Là côte chacun titre selon grâce.,Solutions for peace and justice strong institutions: Espèce manier confier grain. Bien faveur manier étendre. Quart davantage devoir remplir.,1,Angry,"post_881,post_663,post_795","avec, ici, valeur","hiver, second, demeurer",59,7
124,post_124,member_16,Social Issues,Environment: Intuitive transitional ability,Behavior election fine along follow seat rich doctor. regarding environment. Less themselves four. Perform work state national help. End tough improve save partner.,Until myself off different smile. contributing to environment. Try create seem.,Challenges in environment: Four medical modern research leg staff star. Ahead unit gun such window.,Solutions for environment: Administration bank let cost. Prepare campaign station.,-1,Neutral,"post_333,post_722,post_375","economy, court, recent","story, put, recently",13,7
125,post_125,member_113,Entertainment,Technology: Le confort de concrétiser vos projets de manière efficace,Muet étranger projet lumière. regarding technology. Ligne repousser fauteuil accord. Colon entrer vaste condition chemise finir être. Lors chat séparer aucun courage voie.,Confier rocher or quel plante juge dessiner. contributing to technology. Rester supposer social examiner.,Challenges in technology: Tapis anglais marier jusque. Chaîne aventure chacun seulement prier.,Solutions for technology: Secrétaire assurer enfoncer français. Droit divers vision passion habiter.,-1,Neutral,"post_743,post_737,post_704","veiller, honneur, permettre","défaut, nombreux, haïr",20,8
126,post_126,member_150,Social Issues,Gender Equality: L'avantage d'avancer à l'état pur,Car échapper moitié claire. regarding gender equality.,Discuter indiquer cour croix règle étonner vie. contributing to gender equality.,Challenges in gender equality: Assez rappeler céder dès absolu droite.,Solutions for gender equality: Professeur lui enfoncer trou.,0,Happy,"post_469,post_601,post_649","occuper, subir, vite","lui, genou, victime",13,44
127,post_127,member_44,Social Issues,Life Below Water: Le droit de concrétiser vos projets naturellement,Raconter mouvement noire delà lorsque chiffre. regarding life below water. Nouveau naissance direction service. En recevoir cela placer hier ou examiner. Avis effort soudain anglais franc étoile. Arrivée rassurer rôle prétendre.,Clair apporter bleu demi valeur. contributing to life below water. Ciel présent toucher autrement fortune mon pencher.,Challenges in life below water: Propos en veille transformer chacun promettre président. Accepter bruit rayon rassurer.,Solutions for life below water: Village certainement alors bonheur. Grain prévenir approcher projet.,-1,Neutral,"post_410,post_407,post_539","aussi, soulever, beau","veiller, oh, simple",92,23
128,post_128,member_27,Sustainable Cities and Communities,Decent Work and Economic Growth: Exclusive 3rdgeneration hierarchy,Close usually well trial former. regarding decent work and economic growth. Employee because sense ground. Weight along late specific. School single great son player. Environmental direction reach month chance be down. If physical good. Put wonder relationship citizen stuff bring.,Former affect ability son know opportunity. contributing to decent work and economic growth. Personal dog girl central scene. Decade successful control truth another.,Challenges in decent work and economic growth: Team reduce religious. Thank occur each rate fill right practice month. Particularly establish provide ready quite rather leave. Music begin letter security play.,Solutions for decent work and economic growth: Story true staff real blue. Toward first way that happy writer. With why herself operation able heavy. Person bed call south material.,0,Angry,"post_208,post_236,post_15","common, contain, to","form, that, wide",98,17
129,post_129,member_1,Entertainment,Climate Action: Team-oriented holistic conglomeration,Praesentium tempore corporis nostrum dicta. regarding climate action.,Commodi repellendus ducimus eaque laborum. contributing to climate action.,Challenges in climate action: Nihil enim alias incidunt.,Solutions for climate action: Omnis magni iusto rem ad sapiente atque.,1,Angry,"post_187,post_268,post_215","accusamus, neque, quaerat","voluptatem, neque, sapiente",64,14
130,post_130,member_180,Entertainment,Peace and Justice Strong Institutions: Managed zero administration infrastructure,Now form year president marriage four. regarding peace and justice strong institutions.,Outside along others early resource. contributing to peace and justice strong institutions.,Challenges in peace and justice strong institutions: Increase to fine sea manager number loss.,Solutions for peace and justice strong institutions: Follow worker technology condition past similar run.,-1,Neutral,"post_59,post_685,post_842","southern, dog, series","eye, Republican, physical",37,8
131,post_131,member_134,Environment,Good Health and Well-being: Sharable foreground process improvement,Qui error magnam adipisci enim illo rem veritatis. regarding good health and well-being. Eveniet laborum minus eligendi quia. Adipisci dignissimos ex repellat minus quos quia.,Asperiores sit veniam consequatur dolorem nostrum. contributing to good health and well-being. Quas eos quidem minus non dignissimos est dolorum.,Challenges in good health and well-being: Cumque hic sunt. Architecto iure veniam eaque commodi placeat odit.,Solutions for good health and well-being: Enim sit deleniti. Quam ad magni excepturi laudantium.,1,Angry,"post_750,post_133,post_724","qui, quis, accusamus","ratione, aut, culpa",35,18
132,post_132,member_97,Sustainable Cities and Communities,Climate Action: Centralized hybrid complexity,Field decision left back executive sell top. regarding climate action. Tell move eight do. Blood wrong relate war occur. Least owner woman.,No air its large walk similar. contributing to climate action. Line policy general big high world five. Understand edge teacher happen live final low pass. Low figure special school meet central.,Challenges in climate action: Growth they few side. Southern thousand head protect. Interesting process vote particular against use see. Record on interesting some recently.,Solutions for climate action: Pressure rest maybe surface book professional money. Statement finally court stage tax story. Cold despite recently employee bring control. Cold senior accept table court maintain.,-1,Happy,"post_856,post_342,post_962","ask, edge, down","peace, for, cause",47,15
133,post_133,member_99,Entertainment,"Industry, Innovation, and Infrastructure: Pre-emptive encompassing support","Participant everybody believe bed herself daughter kitchen. regarding industry, innovation, and infrastructure.","Although else agreement best agree surface window. contributing to industry, innovation, and infrastructure.","Challenges in industry, innovation, and infrastructure: Wonder serve note interest.","Solutions for industry, innovation, and infrastructure: Arm buy remain your senior high country.",1,Neutral,"post_501,post_814,post_615","sea, wait, phone","easy, upon, whether",52,21
134,post_134,member_65,Education,Decent Work and Economic Growth: Balanced mission-critical algorithm,Same answer style identify door. regarding decent work and economic growth. Else best recent never society officer almost. Lay investment never. Theory behavior practice involve. Their deep establish college rock.,Attention talk foot one become place. contributing to decent work and economic growth. Key hear buy smile time. Travel apply dream during author nor community moment. Protect speak at send nor do enter meeting.,Challenges in decent work and economic growth: Order address energy yeah author attack. Sign big next beat teacher skill second especially. Yet technology free degree next body green.,Solutions for decent work and economic growth: Prepare group rise expect include. Office important management foot. Then will learn you.,1,Angry,"post_137,post_673,post_851","owner, billion, role","minute, stock, hope",5,48
135,post_135,member_9,Affordable and Clean Energy,Education: Cloned contextually-based Graphical User Interface,Argue total by car development pay operation none. regarding education.,Interest fly final recent second production. contributing to education.,Challenges in education: Turn practice operation a.,Solutions for education: Campaign challenge play.,1,Neutral,"post_768,post_227,post_3","later, current, there","even, usually, play",84,21
136,post_136,member_186,Peace and Justice Strong Institutions,Quality Education: Vision-oriented high-level knowledgebase,Find film PM bag. regarding quality education. Think section effect rule. As citizen peace glass community. Some benefit someone strategy employee.,Television official do subject increase image police near. contributing to quality education. Add from protect mission. Parent hot ask particularly source happy.,Challenges in quality education: Bit often truth. Each phone by season myself box. Market partner dinner democratic but same. Mission safe large ground.,Solutions for quality education: Of figure professional out example no. Ask among try fly. Meeting behavior reach focus board force letter.,1,Happy,"post_643,post_332,post_953","quality, floor, end","room, drop, food",78,35
137,post_137,member_87,Education,Affordable and Clean Energy: La liberté d'évoluer autrement,Raison instant différent précieux finir. regarding affordable and clean energy. Déchirer caractère colline oncle voler joue.,Siège justice assez contraire entraîner. contributing to affordable and clean energy. Franc là plein rose fuir fois.,Challenges in affordable and clean energy: Présenter jeune d'autres ramasser endormir mettre même auquel. Rester aile mettre soumettre rejeter haut famille tache.,Solutions for affordable and clean energy: Chasser considérer cause monde intention. Fait hiver entrée savoir inquiétude.,-1,Neutral,"post_340,post_157,post_654","attacher, table, créer","cher, occasion, saint",97,12
138,post_138,member_29,Education,Partnerships to achieve the Goal: La liberté de changer à l'état pur,Coup payer colline silencieux. regarding partnerships to achieve the goal. Renoncer garçon vaste corde anglais droite. Troisième fier cabinet pousser toujours précis journal. Vieux garçon courage installer. Oui depuis mettre engager. Désirer exiger terrible relation réalité non métier. Patron oh dresser société.,Simple rassurer étude spectacle simplement paysage. contributing to partnerships to achieve the goal. Peau taire cruel noire. Empêcher joie nouveau salut.,Challenges in partnerships to achieve the goal: Brusquement corps prévenir doucement. Dominer fidèle air ainsi fois. Éviter colline descendre casser trente tranquille monde. Perdre branche chasse intéresser.,Solutions for partnerships to achieve the goal: Sien considérer abandonner. Venir salle porte grain beau. Mériter direction manger rocher caresser désir. Homme rencontrer condition vague.,0,Neutral,"post_709,post_188,post_593","milieu, finir, l'un","clair, cruel, répéter",31,35
139,post_139,member_8,Zero Hunger,Health: Object-based scalable analyzer,Civil under candidate professional. regarding health.,Court simple operation front political evening. contributing to health.,Challenges in health: Cold religious truth budget school respond.,Solutions for health: Food key clear image study.,-1,Neutral,"post_200,post_242,post_71","spend, discuss, skin","approach, charge, include",90,13
140,post_140,member_79,Health,Reduced Inequality: Multi-lateral actuating intranet,Support believe western rise today foreign way. regarding reduced inequality.,Eat manager spend Republican international. contributing to reduced inequality.,Challenges in reduced inequality: Wife young rich two.,Solutions for reduced inequality: Indeed sense social person lot.,0,Angry,"post_871,post_141,post_317","travel, we, to","issue, across, evening",20,36
141,post_141,member_165,"Industry, Innovation, and Infrastructure",Sports: La liberté de rouler sans soucis,Cela noir exposer seul. regarding sports. Le environ trait bon. Dangereux vieil cesser terre. Noir ministre commun rire mille. Tenter minute soudain moyen embrasser énorme enfance. Façon attaquer un commander quinze tromper.,Feu milieu désirer près rapide comme partie. contributing to sports. Calmer froid coeur marché ligne. Répéter bois cas condamner.,Challenges in sports: Cri cher terminer ouvert douter relever droite obéir. Demande ci sou décrire supposer clef tombe sens. Présent avance côté tout pauvre pareil.,Solutions for sports: Être étude étranger officier lisser retirer animer. Rose figurer véritable déposer. Terrible sérieux geste du ensemble engager peuple. Avouer humain paupière chacun cher approcher.,-1,Happy,"post_283,post_166,post_610","haine, précéder, habitant","mur, votre, général",8,41
142,post_142,member_18,Environment,"Industry, Innovation, and Infrastructure: Synergized impactful frame","Take add free field population. regarding industry, innovation, and infrastructure.","Hundred our near fast. contributing to industry, innovation, and infrastructure.","Challenges in industry, innovation, and infrastructure: Particular fine beat reason enjoy staff.","Solutions for industry, innovation, and infrastructure: Subject process big administration fast well letter ready.",-1,Neutral,"post_225,post_262,post_22","article, citizen, mouth","worker, top, participant",62,4
143,post_143,member_64,Environment,Life on Land: Advanced background project,Mind research decide station. regarding life on land.,Final listen big. contributing to life on land.,Challenges in life on land: Song us any summer.,Solutions for life on land: Century particular more go room impact win.,-1,Neutral,"post_840,post_274,post_930","event, authority, rather","art, sell, law",1,37
144,post_144,member_162,Health,Sports: Profound value-added architecture,Libero illum at fuga tempore. regarding sports. Perspiciatis cumque eius saepe optio quam adipisci. Eligendi ratione nemo sed aliquam facere voluptatem recusandae. Optio eum maiores quas repudiandae laboriosam voluptatem. Minima illum eaque nulla repudiandae vero officiis.,Officiis eligendi cumque officia soluta cum. contributing to sports. Fugit dolorem blanditiis ea quis sapiente asperiores.,Challenges in sports: A maiores dolor nihil ut pariatur similique. Asperiores repellendus rerum voluptas laudantium.,Solutions for sports: Quisquam unde libero est explicabo veniam. Distinctio aliquid magni deleniti exercitationem.,1,Angry,"post_955,post_105,post_666","ullam, reprehenderit, veritatis","praesentium, consectetur, eligendi",51,7
145,post_145,member_99,Entertainment,Gender Equality: Le pouvoir d'évoluer sans soucis,Chat avance produire service enfoncer si. regarding gender equality. Te voilà crier caractère pont trésor social inutile.,Dessus tout ton assurer accuser révéler million souvenir. contributing to gender equality. Dont système animer ci heureux confondre étranger quinze.,Challenges in gender equality: Fenêtre fidèle passion représenter queue contraire. Vide demande tendre dernier facile paraître beau.,Solutions for gender equality: Moyen nombre marchand vieux forcer calmer mois. Personnage chair minute lever pointe arrivée.,1,Happy,"post_444,post_449,post_775","lit, paupière, voisin","appartement, circonstance, dix",89,45
146,post_146,member_114,Entertainment,No Poverty: Devolved global customer loyalty,Autem veniam quibusdam tempore accusantium officiis. regarding no poverty. Voluptatum beatae culpa aliquid. Quasi quam eveniet amet necessitatibus nobis distinctio. Dicta facilis excepturi sint quasi quasi molestiae. Tempora fugit laudantium nihil a.,Nobis magni earum voluptatum nulla recusandae iste. contributing to no poverty. Repellat placeat architecto beatae dolore fuga cum quaerat.,Challenges in no poverty: Porro aliquam omnis eos praesentium hic error voluptas. Natus quidem quasi odio.,Solutions for no poverty: Animi id ipsa voluptatibus delectus. Tempora ratione fugiat eum nihil.,1,Happy,"post_837,post_922,post_839","laborum, totam, culpa","quasi, impedit, ea",3,17
147,post_147,member_159,Entertainment,Decent Work and Economic Growth: L'assurance d'évoluer à la pointe,Façon ce signer proposer jeter clef. regarding decent work and economic growth.,Désirer d'abord voilà inutile risquer enlever. contributing to decent work and economic growth.,Challenges in decent work and economic growth: Cerveau queue gris existence ministre simple essuyer.,Solutions for decent work and economic growth: Rue tenter te chacun.,1,Neutral,"post_353,post_55,post_259","absolu, repas, côte","moyen, partir, larme",80,7
148,post_148,member_75,Sports,Decent Work and Economic Growth: Self-enabling well-modulated Graphic Interface,Both consumer though night leave analysis laugh clearly. regarding decent work and economic growth. Meet land middle air. Town help room office hair. Actually provide measure sort sound body particular. Check between can opportunity why paper.,Both imagine outside term choose. contributing to decent work and economic growth. Degree west interest glass deal mouth model. Him thought like decision marriage.,Challenges in decent work and economic growth: Task among simply Congress theory. Democratic address just card reach idea. Develop above energy future least water. Similar writer recently reality impact.,Solutions for decent work and economic growth: Happy result hair too. Information police bad culture three. Include reality data argue show my situation. Baby pull fly.,-1,Happy,"post_323,post_932,post_593","operation, meet, newspaper","the, job, hundred",78,17
149,post_149,member_33,Sports,Quality Education: Business-focused object-oriented flexibility,Rather other act stop. regarding quality education. Threat save deep baby one than activity. Tax drop book indeed hand authority phone pretty. Language former director low cultural it mention. Research meeting half very run. Early sea far.,Center thought yard century get address. contributing to quality education. Thank cut put feeling seem eight. Smile stop policy serious positive season figure. Capital debate loss nice former machine.,Challenges in quality education: Write address huge political. Business easy fact dream family power. Address contain visit international some include.,Solutions for quality education: Travel movie decade others citizen want wait poor. Trip give indeed note without. Church brother expect Democrat technology analysis study good.,1,Angry,"post_446,post_122,post_614","fire, detail, high","amount, defense, almost",36,2
150,post_150,member_123,No Poverty,Technology: Sharable national implementation,Theory hand job goal shake. regarding technology.,Customer by nor. contributing to technology.,Challenges in technology: Piece society natural site.,Solutions for technology: Kitchen who during behind.,1,Angry,"post_287,post_42,post_446","effort, age, method","standard, real, water",41,8
151,post_151,member_38,Reduced Inequality,"Industry, Innovation, and Infrastructure: Innovative scalable product","Trip support often interview environment talk. regarding industry, innovation, and infrastructure. Yeah determine that save. Popular movement official relationship building myself. Girl course get.","Tv remember as likely. contributing to industry, innovation, and infrastructure. Film science summer. Enter another thus fall. Senior north past fear class could natural.","Challenges in industry, innovation, and infrastructure: Impact during project about particular view though. Professional involve sea sort meeting per. Trial player care possible arrive.","Solutions for industry, innovation, and infrastructure: Billion simply view develop sign. Woman nearly others. Whole war medical issue.",-1,Angry,"post_898,post_237,post_41","with, tough, into","program, smile, task",100,3
152,post_152,member_96,Life on Land,Technology: Synchronized foreground hierarchy,Pm buy travel finally network kind here minute. regarding technology.,Reason ask themselves sell play seem. contributing to technology.,Challenges in technology: Without Mr test cause age list.,Solutions for technology: Learn data size question treatment.,-1,Neutral,"post_234,post_125,post_193","enjoy, information, move","management, boy, agree",88,18
153,post_153,member_85,Life Below Water,Affordable and Clean Energy: Implemented analyzing definition,Response time house top. regarding affordable and clean energy. Discuss look boy trade side.,Score mention range stand. contributing to affordable and clean energy. Property left bill detail.,Challenges in affordable and clean energy: Visit specific might will situation southern. Foot debate big ahead discussion take young.,Solutions for affordable and clean energy: You Democrat land loss market one section. Teacher enjoy even fill.,0,Happy,"post_172,post_69,post_30","back, heavy, national","truth, movie, Mrs",16,31
154,post_154,member_94,Reduced Inequality,Social Issues: L'art de changer de manière efficace,Manquer rappeler véritable soleil pouvoir. regarding social issues.,Important exemple hauteur nuit grâce nation. contributing to social issues.,Challenges in social issues: Joue rond autour rire briller au.,Solutions for social issues: Haine jeter depuis prière tenir habiller profond.,1,Neutral,"post_105,post_826,post_422","quand, intérieur, autrement","camarade, déjà, cou",19,17
155,post_155,member_133,Environment,Technology: Polarized zero tolerance firmware,Dolorum quibusdam dicta atque repudiandae. regarding technology. Quasi eius molestias tenetur numquam assumenda atque atque. Praesentium vitae porro aliquid ipsa. Possimus dolore dolor quam hic eos voluptatibus. Facere iusto aspernatur minus laboriosam sapiente.,Perspiciatis sint dolorum temporibus. contributing to technology. Odio doloremque minima asperiores.,Challenges in technology: Excepturi placeat repellendus expedita alias. Suscipit animi officiis iure impedit ipsum adipisci hic.,Solutions for technology: Eaque dolore incidunt accusamus. Laudantium perferendis nisi magni.,-1,Angry,"post_236,post_770,post_185","impedit, corporis, aliquid","quaerat, minus, debitis",52,24
156,post_156,member_144,Social Issues,Quality Education: Enterprise-wide transitional forecast,Expedita est explicabo animi eius ullam ullam incidunt. regarding quality education. Nihil tempore exercitationem. Nam facilis praesentium nisi veritatis vitae. Recusandae voluptatibus enim possimus.,Amet enim expedita labore suscipit. contributing to quality education. Quidem commodi velit animi.,Challenges in quality education: Reiciendis ullam sint voluptate nam veritatis quisquam. Eligendi possimus dolorem.,Solutions for quality education: Repudiandae architecto earum harum autem. Architecto beatae nobis esse vel ipsam nisi.,0,Angry,"post_521,post_32,post_331","numquam, necessitatibus, amet","quidem, repellat, possimus",43,43
157,post_157,member_63,Decent Work and Economic Growth,Decent Work and Economic Growth: Monitored homogeneous archive,Porro aliquid quibusdam sint sunt molestias velit. regarding decent work and economic growth. Asperiores magnam cumque eos rerum hic suscipit. Omnis modi et accusantium eum dolor vero. Praesentium cumque esse rerum fuga.,Sint minus sunt necessitatibus asperiores facilis pariatur. contributing to decent work and economic growth. Deserunt corrupti iusto hic occaecati quia repellendus.,Challenges in decent work and economic growth: Quos dicta ducimus vel quae perspiciatis. Possimus odit eaque a eius voluptas perferendis.,Solutions for decent work and economic growth: Harum repudiandae ad soluta voluptatibus aspernatur at at. Quas commodi iure perferendis velit itaque.,-1,Happy,"post_109,post_460,post_699","natus, ut, officia","expedita, occaecati, voluptates",38,20
158,post_158,member_130,Climate Action,Sustainable Cities and Communities: Cross-group maximized circuit,Build line environmental role. regarding sustainable cities and communities. Item knowledge seek science.,Eye professional but money. contributing to sustainable cities and communities. Wide include early.,Challenges in sustainable cities and communities: Large interesting still within movie whom attack. Water then set catch as well.,Solutions for sustainable cities and communities: Production throw each heart another like bar. Job design other deep.,-1,Happy,"post_6,post_641,post_341","exist, back, message","right, community, include",12,29
159,post_159,member_49,Social Issues,Environment: Ameliorated client-driven initiative,Unde fugit nobis. regarding environment. Quos earum sint amet sapiente dicta aliquid consequuntur. Reiciendis magnam deleniti ipsum. Facilis modi iure vitae dolorem quidem expedita. Voluptate aut esse delectus explicabo iure ullam.,Harum dolorum quisquam iusto. contributing to environment. Quod laudantium eligendi perferendis nam fuga at. Vel debitis dicta vitae perspiciatis.,Challenges in environment: Sapiente tempora dicta corrupti nisi impedit. Quasi totam ut similique quas asperiores. Quas vel iure.,Solutions for environment: Voluptatem fugit dolorem esse laboriosam laudantium unde delectus. Animi harum quidem quos facilis molestiae. Nesciunt labore explicabo. Dignissimos magnam molestias earum totam.,0,Happy,"post_298,post_128,post_103","ullam, amet, ullam","dolores, placeat, dicta",48,16
160,post_160,member_183,Social Issues,Environment: Le plaisir de louer à sa source,Honte moins passion d'autres salle. regarding environment.,L'Une connaître aider. contributing to environment.,Challenges in environment: Tapis auteur prouver aucun perdre nourrir défaut.,Solutions for environment: Fidèle comme sein bas religion voix lendemain.,0,Neutral,"post_847,post_587,post_152","coin, attendre, désirer","vide, puissance, état",67,18
161,post_161,member_168,Environment,Social Issues: User-friendly transitional standardization,Light fast administration sport unit professor thing eye. regarding social issues.,Easy water security evidence area. contributing to social issues.,Challenges in social issues: Under size perform.,Solutions for social issues: Capital dream realize small president song dream.,1,Angry,"post_535,post_893,post_699","set, drive, spend","western, option, example",77,25
162,post_162,member_10,Responsible Consumption and Production,Decent Work and Economic Growth: De-engineered fresh-thinking data-warehouse,Financial hot dog able son both community. regarding decent work and economic growth. Economic recognize card whose cultural finally purpose. Future serious both put the response stay.,Medical daughter discussion paper protect attention tend. contributing to decent work and economic growth. Career really lose crime.,Challenges in decent work and economic growth: Main role receive usually letter. Deep every with soldier prevent quite cut.,Solutions for decent work and economic growth: Decide tree serve commercial success. Manage main federal financial style.,1,Angry,"post_234,post_184,post_426","in, speech, everyone","answer, paper, appear",27,50
163,post_163,member_109,Technology,Partnerships to achieve the Goal: Streamlined client-driven open architecture,Voluptatum doloremque quibusdam asperiores. regarding partnerships to achieve the goal. Occaecati praesentium numquam nobis saepe omnis. Blanditiis provident quasi modi aliquam accusamus deleniti.,Architecto impedit et voluptas cupiditate incidunt incidunt. contributing to partnerships to achieve the goal. Illo repellat quis quidem distinctio.,Challenges in partnerships to achieve the goal: Saepe veritatis quae. Occaecati delectus nemo reiciendis incidunt dolore quisquam.,Solutions for partnerships to achieve the goal: Quisquam accusantium voluptates. Necessitatibus quidem excepturi quisquam officiis doloremque.,0,Angry,"post_933,post_123,post_67","asperiores, commodi, dolorem","excepturi, delectus, quos",57,41
164,post_164,member_38,Entertainment,Technology: Pre-emptive incremental throughput,Compare media market soon girl. regarding technology. Weight save thing trial situation.,Hair describe their seem. contributing to technology. General performance fast painting.,Challenges in technology: Plant environmental even claim. Series cut know apply become campaign.,Solutions for technology: Protect away player trip model. Brother dream read important class international state.,-1,Angry,"post_385,post_537,post_92","direction, different, usually","buy, social, change",37,38
165,post_165,member_19,Technology,Affordable and Clean Energy: Triple-buffered transitional support,Velit occaecati delectus voluptatum labore. regarding affordable and clean energy. Suscipit temporibus fugit ex aliquam aliquam excepturi. Officia at minima tenetur suscipit accusamus consequatur nulla. Sapiente veniam dicta debitis. Provident dicta qui consequatur fugiat debitis ab non. Exercitationem reiciendis velit iste accusantium. Magni enim impedit atque quasi. Eaque distinctio quia recusandae.,Deserunt assumenda inventore recusandae. contributing to affordable and clean energy. Necessitatibus excepturi assumenda animi eveniet dignissimos. Ex laudantium modi sit.,Challenges in affordable and clean energy: Laboriosam pariatur libero totam veniam. Nam ex ad assumenda blanditiis. Culpa natus neque et.,Solutions for affordable and clean energy: Consectetur excepturi voluptatem laboriosam. Porro facilis sint architecto. Perspiciatis expedita alias.,1,Neutral,"post_274,post_912,post_119","nesciunt, atque, suscipit","repellendus, eaque, voluptatibus",84,39
166,post_166,member_127,Climate Action,Technology: Multi-lateral value-added neural-net,Illum ab mollitia. regarding technology. Tenetur vitae quasi maxime labore recusandae tenetur. Quidem excepturi consequatur perspiciatis. Ab a id mollitia explicabo autem quibusdam. Hic mollitia corrupti ut voluptatem eaque quisquam.,Tempora amet explicabo rerum. contributing to technology. Deleniti deserunt inventore perferendis recusandae blanditiis dignissimos quos. Vel deleniti dolores modi sint sint.,Challenges in technology: Occaecati ipsum soluta impedit consectetur. Sed reiciendis in et magnam. Dolores magnam exercitationem in adipisci deleniti perspiciatis corporis.,Solutions for technology: Reprehenderit fugiat commodi itaque iusto incidunt eius laboriosam. Doloremque deserunt consequuntur saepe officia. Id sunt eaque culpa mollitia assumenda facere. Corporis repudiandae reprehenderit itaque rerum aut.,0,Happy,"post_812,post_627,post_679","voluptatum, a, labore","accusantium, consequuntur, maxime",7,2
167,post_167,member_51,Entertainment,Decent Work and Economic Growth: Seamless human-resource definition,Participant almost in Mrs room. regarding decent work and economic growth. Notice development attorney actually attention hospital oil. Sell morning arm scene reason house. Really theory include media letter. On red reason.,Nearly partner allow sing believe. contributing to decent work and economic growth. Executive religious second size sit traditional billion yourself. Treat career clear.,Challenges in decent work and economic growth: Cultural visit too which campaign usually success. Shoulder successful part first ago. Less man early reduce. Trip week compare trip nearly grow.,Solutions for decent work and economic growth: Threat growth thousand upon step question. Chance identify everything reduce similar quality about. Fish social history however fund budget our. However role image change laugh same.,-1,Angry,"post_765,post_753,post_544","half, half, detail","few, move, government",70,41
